name,address,active_years,closure_reason,lat,lng,notes,documentation_status,zoning_type,zoning_description,zoning_year,land_use_change,neighborhood,zoning_density,neighborhood_density,displacement_pattern
Streets of London,1430 Market Street,1980s-1990s,Closure,39.7514,-104.9957,Historic punk venue,Research needed,I-B,Industrial - Business,1997,Pre-gentrification industrial,Downtown,8,3,High risk: 1 closures
The Paramount Theatre,1621 Glenarm Place,1930-present,Still operating,39.7437,-104.9958,Historic venue still operating,Active venue,M-I,Mixed Use - Industrial,1998,Pre-gentrification industrial,Downtown,9,3,High risk: 1 closures
Fillmore Auditorium,1510 Clarkson Street,1907-present,Still operating,39.7424,-104.9711,Historic venue still operating,Active venue,I-B,Industrial - Business,1977,Pre-gentrification industrial,Central Denver,8,13,High risk: 4 closures
The Grizzly Rose,5450 N Valley Hwy,1989-present,Still operating,39.7883,-104.9522,Country music venue,Active venue,M-I,Mixed Use - Industrial,1979,Pre-gentrification industrial,Central Denver,9,13,High risk: 4 closures
The Stadium Inn,1330 17th Street,1970s-1990s,Closure/development,39.7469,-104.9973,Historic venue,Research needed,C-G,Commercial - General,1983,Pre-gentrification industrial,Central Denver,5,13,High risk: 4 closures
Munroe's,1331 17th Street,1970s-1990s,Closure/development,39.7469,-104.9973,Historic venue,Research needed,C-G,Commercial - General,1988,Pre-gentrification industrial,Central Denver,5,13,High risk: 4 closures
The Satire Lounge,1920 E Colfax Ave,1960s-1990s,Closure,39.7408,-104.9742,Historic venue,Research needed,I-B,Industrial - Business,1975,Pre-gentrification industrial,Colfax,8,6,Low risk
The Turnverein,1570 Clarkson Street,1900s-present,Still operating,39.7423,-104.9708,Historic German venue,Active venue,I-B,Industrial - Business,1985,Pre-gentrification industrial,Central Denver,8,13,High risk: 4 closures
The Lion's Lair,2022 E Colfax Ave,1960s-present,Still operating,39.7408,-104.9712,Historic dive bar/venue,Active venue,C-G,Commercial - General,1997,Pre-gentrification industrial,Colfax,5,6,Low risk
The Skylark Lounge,140 S Broadway,1940s-1990s,Closure,39.7168,-104.9873,Historic venue,Research needed,M-I,Mixed Use - Industrial,1991,Pre-gentrification industrial,South Broadway,9,5,High risk: 1 closures
3 Kings Tavern,60 S Broadway,1940s-2000s,Closure,39.7171,-104.9874,Historic venue,Research needed,M-I,Mixed Use - Industrial,1982,Pre-gentrification industrial,South Broadway,9,5,High risk: 1 closures
